product_id,seller_id,primary_category,primary_subcategory,brand,product_name,base_price,price_band,is_active,created_ts,fulfillment_channel,category_attributes
PRD-FMCG-00000001,SEL-DAD-STA-00000267,FMCG,Household Goods,GlowVina,Household Goods Item 000001,182000.0,value,True,2026-03-08 11:58:38,,
PRD-HOME-LIVING-00000002,SEL-DAD-OFF-00000546,Home & Living,Furniture,BepNha,Furniture Item 000002,352000.0,premium,True,2026-05-01 11:33:16,cross_dock,"{""assembly_required"": false, ""material"": ""wood"", ""room_type"": ""bathroom"", ""subcategory"": ""Furniture""}"
PRD-FMCG-00000003,SEL-BDG-NEW-00000470,FMCG,Mom & Baby,BimCare,Mom & Baby Item 000003,83000.0,budget,True,2026-03-31 18:13:29,seller_fulfilled,"{""pack_size"": ""family_pack"", ""shelf_life_days"": 284, ""subcategory"": ""Mom & Baby"", ""variant"": ""standard""}"
PRD-FMCG-00000004,SEL-HPH-STA-00000450,FMCG,Household Goods,PawJoy,Household Goods Item 000004,152000.0,value,True,2026-04-30 07:36:26,seller_fulfilled,"{""pack_size"": ""family_pack"", ""shelf_life_days"": 199, ""subcategory"": ""Household Goods"", ""variant"": ""premium""}"
PRD-FASHION-00000005,SEL-HCM-PRE-00000507,Fashion,Footwear,AoNha,Footwear Item 000005,201000.0,mid,True,2026-03-21 16:33:54,,
PRD-ELHA-00000006,SEL-HAN-OFF-00000510,ELHA,Home Appliances,SaigonSound,Home Appliances Item 000006,13348000.0,premium,False,2026-03-11 18:38:13,,
PRD-FMCG-00000007,SEL-DNA-OFF-00000003,FMCG,Mom & Baby,Saigon Fresh,Mom & Baby Item 000007,21000.0,premium,True,2026-03-27 20:16:41,,
PRD-FASHION-00000008,SEL-NTR-NEW-00000128,Fashion,Women's Fashion,ModaBim,Women's Fashion Item 000008,166000.0,budget,True,2026-04-10 07:48:38,platform_fulfilled,"{""material"": ""denim"", ""size_family"": ""free_size"", ""style"": ""streetwear"", ""subcategory"": ""Women's Fashion""}"
PRD-FMCG-00000009,SEL-HAN-PRE-00000054,FMCG,Pet Care,Saigon Fresh,Pet Care Item 000009,36000.0,mid,True,2026-03-08 22:08:05,,
PRD-ELHA-00000010,SEL-HCM-STA-00000540,ELHA,TVs & Audio,BimDigital,TVs & Audio Item 000010,530000.0,value,True,2026-04-20 18:04:06,seller_fulfilled,"{""energy_rating"": ""A"", ""spec_tier"": ""entry"", ""subcategory"": ""TVs & Audio"", ""warranty_months"": 12}"
PRD-HOME-LIVING-00000011,SEL-HUI-STA-00000064,Home & Living,Kitchen & Dining,LotusLiving,Kitchen & Dining Item 000011,1173000.0,value,True,2026-04-02 02:45:33,seller_fulfilled,"{""assembly_required"": false, ""material"": ""ceramic"", ""room_type"": ""bathroom"", ""subcategory"": ""Kitchen & Dining""}"
PRD-FMCG-00000012,SEL-HAN-PRE-00000216,FMCG,Household Goods,GlowVina,Household Goods Item 000012,203000.0,mid,True,2026-04-03 23:29:16,platform_fulfilled,"{""pack_size"": ""bundle_3"", ""shelf_life_days"": 436, ""subcategory"": ""Household Goods"", ""variant"": ""premium""}"
PRD-FASHION-00000013,SEL-HCM-STA-00000107,Fashion,Men's Fashion,VinaWear,Men's Fashion Item 000013,402000.0,value,True,2026-05-02 13:41:33,seller_fulfilled,"{""material"": ""synthetic_leather"", ""size_family"": ""free_size"", ""style"": ""office"", ""subcategory"": ""Men's Fashion""}"
PRD-ELHA-00000014,SEL-HAN-STA-00000347,ELHA,Computers & Accessories,VinaTech,Computers & Accessories Item 000014,5211000.0,value,True,2026-05-01 19:06:17,seller_fulfilled,"{""energy_rating"": ""A"", ""spec_tier"": ""flagship"", ""subcategory"": ""Computers & Accessories"", ""warranty_months"": 24}"
PRD-HOME-LIVING-00000015,SEL-HCM-PRE-00000263,Home & Living,Kitchen & Dining,MekongHome,Kitchen & Dining Item 000015,701000.0,mid,True,2026-04-06 15:04:58,seller_fulfilled,"{""assembly_required"": true, ""material"": ""steel"", ""room_type"": ""bathroom"", ""subcategory"": ""Kitchen & Dining""}"
PRD-FASHION-00000016,SEL-HAN-NEW-00000529,Fashion,Fashion Accessories,StreetLotus,Fashion Accessories Item 000016,68000.0,budget,True,2026-04-06 16:26:06,seller_fulfilled,"{""material"": ""synthetic_leather"", ""size_family"": ""free_size"", ""style"": ""casual"", ""subcategory"": ""Fashion Accessories""}"
PRD-FMCG-00000017,SEL-HCM-OFF-00000389,FMCG,Groceries,Mekong Pantry,Groceries Item 000017,51000.0,premium,True,2026-03-20 01:18:27,,
PRD-FASHION-00000018,SEL-DAD-OFF-00000117,Fashion,Footwear,AoNha,Footwear Item 000018,312000.0,premium,True,2026-03-17 05:05:32,,
PRD-FASHION-00000019,SEL-HUI-NEW-00000518,Fashion,Fashion Accessories,ModaBim,Fashion Accessories Item 000019,157000.0,budget,True,2026-04-26 23:12:15,cross_dock,"{""material"": ""synthetic_leather"", ""size_family"": ""numeric"", ""style"": ""casual"", ""subcategory"": ""Fashion Accessories""}"
PRD-ELHA-00000020,SEL-HCM-OFF-00000580,ELHA,Computers & Accessories,SaigonSound,Computers & Accessories Item 000020,5830000.0,premium,True,2026-03-14 21:36:31,,
